grid,reflection
2632724,1620
2632725,1621
2632728,1622
2634616,1623
2634626,1624
2634627,1625
2634628,1626
2634629,1627
2634637,1628
2634638,1629
2634639,1630
2634641,1631
2634642,1632
2634644,1633
2634645,1634
2634697,1635
2634698,1636
2634699,1637
2636532,1638
2636545,1639
2636546,1640
2636556,1641
2636557,1642
2636558,1643
2636559,1644
2636611,1645
2636612,1646
2636613,1647
2636614,1648
2636615,1649
2638448,1650
2638449,1651
2638462,1652
2638474,1653
2638475,1654
2638476,1655
2638526,1656
2638527,1657
2638530,1658
2640365,1659
2640378,1660
2640379,1661
2640392,1662
2640393,1663
2640440,1664
2640441,1665
2640442,1666
2640446,1667
2642281,1668
2642295,1669
2642309,1670
2642310,1671
2642355,1672
2642356,1673
2642362,1674
2644197,1675
2644211,1676
2644212,1677
2644226,1678
2644227,1679
2644278,1680
2646112,1681
2646113,1682
2646129,1683
2646130,1684
2646131,1685
2646141,1686
2646142,1687
2646143,1688
2646184,1689
2646185,1690
2648028,1691
2648047,1692
2648048,1693
2648049,1694
2648050,1695
2648057,1696
2648059,1697
2648060,1698
2648100,1699
2648112,1700
2649943,1701
2649967,1702
2649968,1703
2649969,1704
2649970,1705
2649971,1706
2649972,1707
2649973,1708
2649976,1709
2649977,1710
2649978,1711
2650015,1712
2650016,1713
2650027,1714
2650028,1715
2650029,1716
2651858,1717
2651859,1718
2651886,1719
2651894,1720
2651895,1721
2651928,1722
2651929,1723
2651930,1724
2651931,1725
2651941,1726
2651942,1727
2653774,1728
2653802,1729
2653811,1730
2653812,1731
2653813,1732
2653841,1733
2653842,1734
2653843,1735
2653844,1736
2653855,1737
2653856,1738
2653863,1739
2653864,1740
2655689,1741
2655690,1742
2655717,1743
2655729,1744
2655730,1745
2655754,1746
2655755,1747
2655756,1748
2655757,1749
2655770,1750
2655771,1751
2655815,1752
2655816,1753
2655817,1754
2655818,1755
2655819,1756
2655820,1757
2655821,1758
2657605,1759
2657633,1760
2657634,1761
2657646,1762
2657647,1763
2657667,1764
2657668,1765
2657669,1766
2657670,1767
2657685,1768
2657686,1769
2657698,1770
2657699,1771
2657728,1772
2657729,1773
2657730,1774
2657737,1775
2657738,1776
2657739,1777
2657740,1778
2659521,1779
2659550,1780
2659563,1781
2659564,1782
2659580,1783
2659581,1784
2659582,1785
2659583,1786
2659601,1787
2659616,1788
2659640,1789
2659641,1790
2659642,1791
2659643,1792
2659656,1793
2659657,1794
2659658,1795
2659659,1796
2661437,1797
2661466,1798
2661479,1799
